"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"101447996",3.16833588336168,3.24626957411701,0.643680812030365,5.04329088803702,4.57592798796311e-07,1.57143289725312e-06,"RNVU1-8"
"306",24.8889522771618,-1.94614847515502,0.385938017629542,-5.0426451561015,4.59140213448768e-07,1.5764432901582e-06,"ANXA3"
"3580",7.73027886163254,2.98829460237742,0.592644213434795,5.04230790520694,4.59950397696042e-07,1.57907299334176e-06,"CXCR2P1"
"103611157",163.366247629404,1.44645550049792,0.286897104991853,5.04172219004787,4.61360750656907e-07,1.58376245364125e-06,"TGFB2-OT1"
"419",74.018675313308,-1.99999570716093,0.396706017077261,-5.04150585336704,4.61882725390013e-07,1.58540167363633e-06,"ART3"
"51032",15.0939328140904,-1.13620539136395,0.225427631115357,-5.04022237976021,4.64991210540457e-07,1.59591786023799e-06,"CELA2B"
"105376436",5.05202903349997,-1.69918027165092,0.33714470072256,-5.03991392422684,4.65741270769327e-07,1.5983383423765e-06,"LOC105376436"
"107986126",64.3280087430003,1.20740731692157,0.239575219332649,5.03978383192084,4.6605796131811e-07,1.59927125679405e-06,"LOC107986126"
"105374733",6.2571171766042,2.45264972681544,0.486668529958541,5.03967192418293,4.66330550392377e-07,1.60005267266354e-06,NA
"105369959",1.49040612511657,-2.55108688122925,0.506289816027586,-5.038787667596,4.68489870766158e-07,1.60730698398318e-06,"LOC105369959"
"105371574",16.0612538464055,-1.40523353582523,0.278926753731816,-5.03800197372367,4.70416593723691e-07,1.61360674607415e-06,"LOC105371574"
"102724736",14.471530580559,-2.53313933100468,0.50281350810294,-5.0379301474257,4.70593111020911e-07,1.61405697210789e-06,"LOC102724736"
"5069",240.919510948676,1.37486988664899,0.273074334668536,5.03478251926472,4.78391646131493e-07,1.64001596818391e-06,"PAPPA"
"391191",5.13020208241965,-3.01046363443198,0.598257418700661,-5.03205399603789,4.85252539049252e-07,1.66289693854472e-06,"OR2AK2"
"105373720",6.52300780015914,-2.7701990378106,0.550535075900503,-5.03183023039799,4.85819390792856e-07,1.66451954993017e-06,NA
"101927619",3.18639266685257,-2.62443645453618,0.521647293164207,-5.03105544479466,4.87787045581031e-07,1.67094006199996e-06,"LINC01923"
"319089",17.1490526424552,-2.57269054837646,0.511418778013904,-5.03049684324755,4.8921044271148e-07,1.67565501749029e-06,"TTC6"
"257358",2.48411349346064,3.05704705565521,0.6077456917413,5.03014187874573,4.90117023987832e-07,1.67859902760335e-06,"LINC01366"
"4509",937.078265928686,-1.6062452260683,0.319406076791726,-5.02884992734714,4.93430375316301e-07,1.68962235296517e-06,"MT-ATP8"
"105376342",7.10952958423722,-2.80321073333515,0.557452171893188,-5.02861209386815,4.94042675240527e-07,1.69155658176449e-06,"LOC105376342"
"106456574",22.1569565787542,-3.50689905007248,0.697484410507013,-5.02792463493665,4.95816654378705e-07,1.69746753985643e-06,"LINC01616"
"90342",35.6684207950273,-1.00716311227758,0.200350793395816,-5.02699837223909,4.98216580836247e-07,1.70519275099535e-06,"FER1L5"
"26817",4.43072866416439,1.93577584701763,0.385092913629026,5.02677608054464,4.98794198472185e-07,1.70700586540481e-06,"SNORD34"
"23742",12.7484326293433,-2.46034259665443,0.489482738933435,-5.02641339716171,4.99738005980144e-07,1.70990762744693e-06,"NPAP1"
"202",288.224517518985,1.67369403200272,0.333033552483916,5.02560183356766,5.01856172927573e-07,1.71682570285852e-06,"CRYBG1"
"4881",40.4788302909163,1.71721554490355,0.341708593011487,5.02538004610797,5.02436539076913e-07,1.71848139108793e-06,"NPR1"
"101928861",18.1263378110463,1.02531358014559,0.204028569292662,5.02534318453641,5.02533059933124e-07,1.71864667854754e-06,"LOC101928861"
"10888",53.341686390937,-2.88984339563507,0.575059024396023,-5.02529874854191,5.02649437946272e-07,1.71887983862333e-06,"GPR83"
"105370275",24.3251338041284,1.79525199749412,0.357288859131298,5.02465148748002,5.04347566154412e-07,1.72452145067277e-06,"LOC105370275"
"105370420",6.71677688223246,3.63317599130537,0.723077875189354,5.02459847821224,5.04486883983202e-07,1.72483243363768e-06,"LOC105370420"
"219736",206.873600894135,-1.64768765827253,0.327986205628473,-5.02364925718538,5.06987897843938e-07,1.73305103883386e-06,"STOX1"
"105379034",1.66040402611282,-2.24756672739652,0.447412296565872,-5.02348000859117,5.07435089395414e-07,1.73441342737855e-06,"LOC105379034"
"8339",332.47677092715,1.20371185274758,0.2396182703321,5.02345606234153,5.07498391297295e-07,1.73446354549181e-06,"H2BC8"
"112268310",15.3994405530465,-1.10025569192206,0.219047890654135,-5.02290019153531,5.08969977539284e-07,1.73915958212446e-06,NA
"151306",6.44314761582838,1.56461268148378,0.311562465548677,5.02182661421818,5.11823772439583e-07,1.7485759460812e-06,"GPBAR1"
"105370792",20.9385556903107,1.15059137564086,0.229136028729153,5.02143369605526,5.12872083890743e-07,1.75198951159535e-06,"LOC105370792"
"5873",134.422659530797,1.05903697171892,0.210912873439132,5.02120593423403,5.13480703437092e-07,1.75390056365581e-06,"RAB27A"
"7791",893.906899043869,1.01686282716166,0.202517873605481,5.02110163936731,5.13759630042821e-07,1.75451718131843e-06,"ZYX"
"101927495",0.904936712017072,-2.72499404044748,0.54285888517095,-5.01970975309607,5.17496111338997e-07,1.76693903967336e-06,"LOC101927495"
"100616452",4.59527289897411,-2.14147087050625,0.426653514355801,-5.01922707408054,5.18797958894837e-07,1.77121447718429e-06,"MIR2682"
"107985259",7.13197951256844,1.39734770762332,0.278400493234401,5.01919982751904,5.18871540473407e-07,1.77129610695785e-06,"LOC107985259"
"810",0.744806494363065,-3.31069916588792,0.659676833177318,-5.0186682317492,5.20309173721422e-07,1.77569385921197e-06,"CALML3"
"112268106",151.117242573049,-1.97656239386013,0.393860317399313,-5.01843497946558,5.20941186606161e-07,1.77768064252399e-06,"LOC112268106"
"105369631",15.3689440206809,1.56926967893183,0.312757890227175,5.01752226871709,5.23421361416537e-07,1.78563146925416e-06,"LOC105369631"
"107986492",7.45295001069098,-3.33220746781565,0.66417467352942,-5.01706493881845,5.24668375041853e-07,1.78971439200234e-06,NA
"89944",181.887666285793,-1.12870687273535,0.224977628296892,-5.01697382659689,5.24917155153669e-07,1.79039175062457e-06,"GLB1L2"
"102724621",3.74845920967016,3.28462200908154,0.654781527804921,5.01636327477479,5.26587192188292e-07,1.79591615086405e-06,"LOC102724621"
"101929331",11.3212747323235,1.59596016510555,0.318157397174643,5.01625981127037,5.26870702190603e-07,1.79671122120273e-06,"LINC02975"
"646982",17.9788451627156,1.53017346274298,0.305097037302336,5.01536650854677,5.29324653296052e-07,1.8043893639745e-06,"LINC00598"
"101929651",0.923057633719914,-2.10393819755673,0.419609338745613,-5.01404044973422,5.32987742099327e-07,1.81670262696062e-06,"LINC01398"
"9414",969.988427369225,1.12481333940684,0.224338796214121,5.01390467627034,5.33364177548479e-07,1.81781196323987e-06,"TJP2"
"9630",59.954203121197,-1.22004446884584,0.243353654418492,-5.01346269798663,5.34591350136655e-07,1.82182029299246e-06,"GNA14"
"100856811",8.83840792217419,-3.11301591883425,0.620935373738294,-5.0134298197453,5.34682746765339e-07,1.82195764449613e-06,"NRG1-IT1"
"100507516",81.3521723492359,2.05773766232793,0.410505770754612,5.01268875841939,5.36746788656361e-07,1.82864149073142e-06,"LINC02984"
"9055",379.400841787313,1.19451763002754,0.238309815661254,5.01245669093836,5.37394732994819e-07,1.83067407132167e-06,"PRC1"
"5348",102.898648541486,-1.92868795777366,0.384782285609809,-5.01241359049846,5.37515154651674e-07,1.83090939104773e-06,"FXYD1"
"101154753",12.2261514903926,1.53034950500659,0.305332286402124,5.01207888310612,5.38451205540312e-07,1.8337474920798e-06,"PANDAR"
